Reflective_Account,Cleaned,Neg,Neu,Pos,Compound,Advice_Text,emotion_label,theme_label
"Throughout the decision-making process, I learned the value of compromise and collaboration. There were times when I had to make sacrifices for group cohesion, and this taught me a valuable lesson: never to overvalue my own perspective above others. Everyone brings their own passion and reasoning to the table, and I've learned to give others' ideas the same energy and consideration I give my own. One of the main challenges we faced as a group was the difference in priorities, motivation, and discipline when it came to data collection and completing the project. Realistically, only two of us fully contributed, which made the workload unfairly distributed. This was frustrating at times, but it taught me a lot about leadership, patience, and accountability. Another significant challenge was the lack of a reliable structure within the university. The system often felt inconsistent and unclear, with different tutors and lecturers offering conflicting information. It was difficult to feel confident in the direction we were taking, especially when guidance varied so widely. Additionally, there seemed to be an imbalance in support - some students had access to module leaders, while others were assigned to fellows who, though well-meaning, often couldn't provide definitive answers. This created an uneven playing field and made it harder to feel confident in our work. We had to make several adjustments during the project, such as introducing a control variable and increasing the number of scenarios, which required flexibility and extra time that wasn't always easy to find under these conditions. At the point of submission, I feel uneasy. There are still aspects of the project that remain unclear, and I worry that by the time proper help arrives, it'll be too late. It's difficult to work within a system that doesn't always function as it should. Looking ahead to next year, I feel nervous. Working closely with a professor is something I'm expected to do, but based on my experience so far, I worry that I'll encounter the same lack of structure and support. In all honesty, I would prefer to work independently - at least that way, the outcome is fully in my hands, and I'm not left waiting on a system or individuals that aren't consistent. Still, I'm hopeful that with the lessons I've learned this year, I'll be able to navigate future challenges with more resilience and clarity.","Throughout the decision-making process, I learned the value of compromise and collaboration. I had to make sacrifices for group cohesion, never overvaluing my own perspective above others. Everyone brings their own passion and reasoning to the table; I learned to give others' ideas equal energy and consideration. The main challenges we faced were differences in priorities, motivation, and discipline during data collection and project completion, with only two of us contributing fully, making workload distribution unfair. This was frustrating, but taught me about leadership, patience, and accountability. Another challenge was the inconsistent structure within the university, offering conflicting information from different tutors and lecturers. We had to adjust factors like introducing a control variable and increasing scenarios, which required flexibility and extra time not always easy to find. At submission, I feel uneasy; aspects remain unclear, and I worry help may come too late. Looking ahead to next year, I'm nervous about working closely with a professor due to potential lack of structure and support. Based on my experience, I prefer independence as outcomes are in my hands, but I hope to navigate future challenges with resilience and clarity using the lessons learned this year.",0.113,0.749,0.138,0.4293,,Resilient,"Collaboration, Leadership, Time Management"
"Reflecting on my learning process during this project, one of my biggest challenges was interpreting data from SPSS. Understanding statistical outputs and their meaning in relation to my research question took time and effort. However, with the guidance provided during lab sessions, it eased my interpretation of results. When analyzing my feelings, I initially felt overwhelmed, especially when trying to convert raw data into a usable SPSS format. I also struggled with cleaning data and formatting in Excel, which led to some frustration. However, the lab sessions were very useful as they provided some clarity on interpreting results, easing my anxiety. I also took the initiative to watch YouTube videos to improve my Excel skills. Even though my writing timeline was not a major concern, I realized the importance of organizing tasks earlier in the term. In future projects, this approach will help me streamline the research process and improve efficiency. On a positive note, I enjoyed working with my group and sharing insights throughout the mini dissertation. From this, I learned to manage sources systematically and think more critically about my research process.","Reflecting on my learning process during this project, one of my biggest challenges was interpreting data from SPSS. Understanding statistical outputs and their meaning in relation to my research question took time and effort. However, with the guidance provided during lab sessions, it eased my interpretation of results. When analyzing my feelings, I initially felt overwhelmed, especially when trying to convert raw data into a usable SPSS format. I also struggled with cleaning data and formatting in Excel, which led to some frustration. However, the lab sessions were very useful as they provided some clarity on interpreting results, easing my anxiety. I also took the initiative to watch YouTube videos to improve my Excel skills. Even though my writing timeline was not a major concern, I realized the importance of organizing tasks earlier in the term. In future projects, this approach will help me streamline the research process and improve efficiency. On a positive note, I enjoyed working with my group and sharing insights throughout the mini dissertation. From this, I learned to manage sources systematically and think more critically about my research process.",0.034,0.771,0.195,0.9843,,Relieved,Data Analysis & Project Management
"Embarking on my first live research project has been a transformative and enlightening experience, offering valuable lessons that will shape my approach to academic work. From conceptualizing the research question through to data analysis and final write-up, each stage provided crucial insights. The initial challenge was bridging the gap between theoretical understanding and practical application. Navigating the complexities of research design, such as creating crime vignettes and ensuring unbiased framing, underscored the importance of precision, careful planning, and applying prior literature. This experience honed my critical thinking skills and emphasized adaptability when facing unexpected challenges.

   The project allowed me to refine my ability to develop a clear, well-supported rationale for every decision made during the process of psychological research. This highlighted the importance of thoughtful decision-making in designing experiments, selecting methods, and interpreting results. Every choice must be grounded in theory and evidence, ensuring robust research designs and valid conclusions. Developing this rationale strengthened my ability to justify methodological decisions, especially when competing theories or strategies were presented.

   As I move into my third year and begin planning my dissertation, I now understand the complexities involved in psychological research. I acknowledge that it is a fluid process requiring constant iteration, flexibility, and critical thinking. The skills developed, such as designing valid methods for investigating a research question, interpreting data, and communicating results effectively, will be invaluable in my future academic journey.

   Most importantly, this experience taught me to approach research with genuine intellectual curiosity and openness to new insights, knowing that the path from hypothesis to conclusion is rarely straightforward but always rewarding. I am now more confident in my ability to design and execute research projects, eager to apply the lessons and knowledge gained in future work.","Embarking on first live research project transformative, enlightening; valuable lessons shape approach to academic work. Each stage provides crucial insights: conceptualizing research question through data analysis, final write-up. Initial challenge bridging gap between theoretical understanding and practical application. Navigate complexities of research design (creating crime vignettes, ensuring unbiased framing), underscore importance of precision, careful planning, applying prior literature. Experience hones critical thinking skills, adaptability when facing unexpected challenges. Project refines ability to develop clear, well-supported rationale for every decision made in psychological research process. This highlights importance of thoughtful decision-making in designing experiments, selecting methods, interpreting results; every choice must be grounded in theory and evidence, ensuring robust research designs and valid conclusions. Developing rationale strengthens ability to justify methodological decisions when competing theories or strategies presented.

   Acknowledge complexities involved in psychological research; it's a fluid process requiring iteration, flexibility, and critical thinking. Skills developed (designing valid methods for investigating research question, interpreting data, communicating results effectively) will be valuable in future academic journey. Most importantly, experience teaches to approach research with genuine intellectual curiosity and openness to new insights, knowing path from hypothesis to conclusion is rarely straightforward but always rewarding. Confident in ability to design and execute research projects; eager to apply lessons and knowledge gained in future work.",0.027,0.741,0.232,0.9898,,Confident,"Research Design, Critical Thinking, Intellectual Curiosity"
"During this time, I designed, composed, and completed my experiment and mini-dissertation. Many decisions needed to be made, such as choosing IV and DV, which was difficult due to differing opinions. We eventually chose one idea each that fit into similar categories. My choice was attachment style, intriguing and suitable for studying alongside relationship satisfaction and impulsivity. We chose a questionnaire because it was straightforward and easy for analysis but preprocessing the data proved complex with vast amounts requiring coding and conversion into meaningful data plots. Deciding what to include and exclude presented challenges.

   The ethical approval process posed difficulties, with many sends back and rejects before approval. We had to keep making small changes to the design and variables to gain approval. Errors in the questionnaire design after publishing caused processing and translating issues, leading to adjustments within data analysis like reverse coding the data, adding different representatives, using means, and discluding certain data that would have hindered processing and study results.

   If I were to repeat this study, I might use a different basis of measurement and questionnaires. I'd carefully compose the questionnaire with this in mind. I feel relieved at submission, as it was stressful, but excited for next year and my main dissertation. I learned much from this experience and enjoyed most of the challenges along the way. I am eager to explore new topics and construct something based on my interests and future career in psychology.","During this time, I designed, composed, and completed my experiment and mini-dissertation. Many decisions needed to be made such as choosing IV and DV, which was difficult due to differing opinions. We eventually chose one idea each that fit into similar categories. My choice was attachment style, intriguing and suitable for studying alongside relationship satisfaction and impulsivity. We chose a questionnaire because it was straightforward and easy for analysis but preprocessing the data proved complex with vast amounts requiring coding and conversion into meaningful data plots. Deciding what to include and exclude presented challenges. The ethical approval process posed difficulties, with many sends back and rejects before approval. We had to keep making small changes to the design and variables to gain approval. Errors in the questionnaire design after publishing caused processing and translating issues, leading to adjustments within data analysis like reverse coding the data, adding different representatives, using means, and discluding certain data that would have hindered processing and study results. If I were to repeat this study, I might use a different basis of measurement and questionnaires. I'd carefully compose the questionnaire with this in mind. I feel relieved at submission, as it was stressful, but excited for next year and my main dissertation. I learned much from this experience and enjoyed most of the challenges along the way. I am eager to explore new topics and construct something based on my interests and future career in psychology.",0.064,0.734,0.202,0.9896,,Relieved,"Research Design, Data Analysis, Ethical Approval Process"
"Throughout the course of this project, I have gained a significantly deeper understanding of psychological research. While readings and studies assigned throughout the academic year provided me with a solid foundation in psychology, hands-on experience of conducting research has truly enhanced my knowledge - a key reason for choosing this university. The journey of completing this mini-dissertation was not without challenges; setup issues with SPSS data caused significant problems during ANOVA and descriptive statistics analysis. Multiple lecturers' guidance proved incredibly helpful, both in troubleshooting technical issues and strengthening my understanding of the software, boosting confidence in data analysis. The writing process presented its own set of challenges - repetition of key points across different sections of the dissertation led me to reflect on creating a coherent and concise flow in future assignments. Although this project has been difficult at times, it has provided valuable learning experiences. Though my submission is not what I ideally would have it look like, I am proud of the progress I have made. I eagerly anticipate receiving feedback, as I believe it will be beneficial for further refining research skills and advancing my academic journey for the next year.","Throughout this project, I have gained a significantly deeper understanding of psychological research. The academic readings and studies provided me with a solid foundation; however, hands-on experience of conducting research has truly enhanced my knowledge - a key reason for choosing this university. The journey of completing this mini-dissertation was not without challenges: setup issues with SPSS data caused significant problems during ANOVA and descriptive statistics analysis. Lecturer guidance proved incredibly helpful, both in troubleshooting technical issues and strengthening my understanding of the software, boosting confidence in data analysis.

The writing process presented its own set of challenges - repetition of key points across different sections led me to reflect on creating a coherent and concise flow in future assignments. Although this project has been difficult at times, it has provided valuable learning experiences. My submission is not what I ideally would have it look like; however, I am proud of the progress I have made. I eagerly anticipate receiving feedback, as I believe it will be beneficial for further refining research skills and advancing my academic journey for the next year.",0.035,0.757,0.208,0.9845,,Resilient,"Research Skills, Data Analysis, Writing, Confidence"
"Initially, the concept of producing my own research seemed incredibly daunting and unachievable. I found starting a group project and writing the lab report independently confusing and it seemed like an intense amount of work to complete individually. However, members of the group did not attend a large percentage of the lab sessions and did not contribute equally when designing the study and making resources. This experience taught the importance of having reliable teammates and active communication between group members to minimize conflict and ensure an even distribution of work. Despite this, the other group members worked effectively together to meet deadlines. I found that although it was a significant workload, lab times and the internal deadlines recommended by lab tutors helped turn the work into manageable pieces that could be conducted in a lab session. Data analysis was intimidating at first; however, there was a significant sense of achievement within the group when we surpassed our expected number of participants and had a larger sample size to close the study. However, this created a new obstacle: an Excel spreadsheet over 100 rows long. It took a bit of trial and error, but with the help of our lab tutor and YouTube videos, we processed our data to the stage where we could run an ANOVA. This experience highlighted that making mistakes initially is okay and can often be reversed or remedied. It also showed how much just trying can teach you; although it took a few attempts, eventually, variables were transformed. This feeling of self-achievement was shortly replaced with disappointment as my results were not significant. It felt very disheartening and as if I had done something wrong or picked a bad PROSOCIAL BEHAVIOUR 15 topic. After a discussion with my lab tutor, I realized that non-significant results are still important. I feel this is an incredibly important realization for an aspiring psychologist. My research found a contradiction to previous research, although the analysis may have been non-significant; the contradiction is a significant contribution to the field. It is important to learn not to be disappointed by this. Ultimately, I now feel more confident with the idea of completing my own completely independent dissertation next year. I feel more comfortable with data analysis and have a good idea of which aspects are the most time-consuming or require the most attention. It has also given me valuable experience in organizing my time to make a very large and daunting project more approachable by setting internal deadlines and holding myself accountable. I have really enjoyed this topic and look forward to my dissertation next year.","Initially, the concept of producing my own research seemed incredibly daunting and unachievable. I found starting a group project and writing the lab report independently confusing and it seemed like an intense amount of work to complete individually. However, members of the group did not attend a large percentage of the lab sessions and did not contribute equally when designing the study and making resources. This experience taught the importance of having reliable teammates and active communication between group members to minimize conflict and ensure an even distribution of work. Despite this, the other group members worked effectively together to meet deadlines. I found that although it was a significant workload, lab times and the internal deadlines recommended by lab tutors helped turn the work into manageable pieces that could be conducted in a lab session. Data analysis was intimidating at first; however, there was a significant sense of achievement within the group when we surpassed our expected number of participants and had a larger sample size to close the study. However, this created a new obstacle: an Excel spreadsheet over 100 rows long. It took a bit of trial and error, but with the help of our lab tutor and YouTube videos, we processed our data to the stage where we could run an ANOVA. This experience highlighted that making mistakes initially is okay and can often be reversed or remedied. It also showed how much just trying can teach you; although it took a few attempts, eventually, variables were transformed. This feeling of self-achievement was shortly replaced with disappointment as my results were not significant. It felt very disheartening and as if I had done something wrong or picked a bad PROSOCIAL BEHAVIOUR 15 topic. After a discussion with my lab tutor, I realized that non-significant results are still important. I feel this is an incredibly important realization for an aspiring psychologist. My research found a contradiction to previous research, although the analysis may have been non-significant; the contradiction is a significant contribution to the field. It is important to learn not to be disappointed by this. Ultimately, I now feel more confident with the idea of completing my own completely independent dissertation next year. I feel more comfortable with data analysis and have a good idea of which aspects are the most time-consuming or require the most attention. It has also given me valuable experience in organizing my time to make a very large and daunting project more approachable by setting internal deadlines and holding myself accountable. I have really enjoyed this topic and look forward to my dissertation next year.",0.074,0.803,0.123,0.9549,"This experience taught the importance of having reliable teammates and active communication between group members to minimize conflict and ensure an even distribution of work. || I found that although it was a significant workload, lab times and the internal deadlines recommended by lab tutors helped turn the work into manageable pieces that could be conducted in a lab session. || It is important to learn not to be disappointed by this.",Motivated,"Independence, Teamwork, Data Analysis, Time Management, Confidence"
"It was honestly reassuring to be in a group with others who, like me, had a lot going on outside of university. We understood each other's time pressures and this helped keep us motivated, even if it also meant a fair bit of last-minute scrambling. That said, I learned a lot from that. I went in with some quite narrow ideas about how to measure things, and it wasn't until I was deep in the process that I realized I needed to shift gears, and kind of make the most of what I had. So while the final version came together (somewhat) in the end, it definitely felt like I was piecing things together in real time, rather than having a clear vision from the beginning. Next year, I'm actually looking forward to approaching my dissertation with a clearer vision and structure right from the start. I've now got a much better sense of what works, what doesn't, and how much planning really helps. Also, no longer being intimidated by SPSS or Excel helps a lot.","It was reassuring to be in a group with others who, like me, had a lot going on outside of university. We understood each other's time pressures and this helped keep us motivated, even if it also meant a fair bit of last-minute scrambling. I learned a lot from that. I went in with some quite narrow ideas about how to measure things, and it wasn't until I was deep in the process that I realized I needed to shift gears, and make the most of what I had. So while the final version came together (somewhat) in the end, it definitely felt like I was piecing things together in real time, rather than having a clear vision from the beginning. Next year, I'm looking forward to approaching my dissertation with a clearer vision and structure right from the start. I've now got a much better sense of what works, what doesn't, and how much planning really helps. Also, no longer being intimidated by SPSS or Excel helps a lot.",0.039,0.788,0.172,0.972,,Motivated,"Time Management, Flexibility, Planning, Data Analysis"
"At the start of the year, even thinking about a mini dissertation was daunting. I felt unprepared. As we formed groups and brainstormed ideas, I originally felt worried that as a group, we wouldn't be able to come together and produce a piece of work that we were all proud of. However, the difficulty of this project brought our small group together, and we supported each other throughout the process. Throughout the process of picking a topic, allocating variables and interactions for us all to choose, and then getting started with the study formation, we began to work together much more seamlessly than when we started. Working in a group has taught me how to rely on others for parts I feel less confident in. I also learned to lend a helping hand to my colleagues when they were feeling less confident in an area that I was confident in. This experience has helped a lot with the feeling of impending doom when thinking about my dissertation next year as I already know what I need to do to get started and what to focus on. I feel much more confident about going into year 3, knowing how to produce a piece of work that I can be proud of.","At the start of the year, even thinking about a mini dissertation was daunting. I felt unprepared. As we formed groups and brainstormed ideas, I originally felt worried that as a group, we wouldn't be able to come together and produce a piece of work that we were all proud of. However, the difficulty of this project brought our small group together, and we supported each other throughout the process. Throughout the process of picking a topic, allocating variables and interactions for us all to choose, and then getting started with the study formation, we began to work together much more seamlessly than when we started. Working in a group has taught me how to rely on others for parts I feel less confident in. I also learned to lend a helping hand to my colleagues when they were feeling less confident in an area that I was confident in. This experience has helped a lot with the feeling of impending doom when thinking about my dissertation next year as I already know what I need to do to get started and what to focus on. I feel much more confident about going into year 3, knowing how to produce a piece of work that I can be proud of.",0.031,0.842,0.126,0.9643,,Relieved,Teamwork and Collaboration
"At the beginning of this project, I was excited to explore gender differences in perception, particularly how gendered language shapes attitudes towards job roles. Initially, I had to adapt my original idea due to other team members focusing on similar areas. Despite being initially disappointed, I remained open-minded and embraced the opportunity to work in a team. I enjoyed working with my partner overall, but collaboration came with difficulties. One challenge was our disagreement over using visual stimuli; I wanted to present job ads within stereotypically masculine and feminine office spaces, but we couldn't agree on their appearance, resulting in a change of direction that delayed progress. A significant challenge for me was SPSS; I initially felt overwhelmed by it but grew more confident as time passed. Unfortunately, technical issues led to the loss of data outputs, preventing me from recreating graphs shown to Caroline. Although I'm proud of the work submitted, it's not as comprehensive as it could have been. Moving forward, I understand the importance of completing tasks ahead of deadlines and seeking help when things go wrong. The project has highlighted the significance of visual and language-based framing in gendered communication, especially within marketing. In future projects, especially my final-year dissertation, I'd like to explore topics that integrate academic interests with professional fields, focusing on the power of gendered words and improving my ability to create engaging experimental materials reflective of real-world applications. Although this project may not be the piece I'm most proud of, it served as a turning point in my perception of myself as a researcher, providing clarity on values, voice, and future explorations. At submission, I feel a mix of pride, frustration, and relief but primarily motivated for what comes next.","At the beginning of this project, I was excited to explore gender differences in perception, particularly how gendered language shapes attitudes towards job roles. Initially, I had to adapt my original idea due to other team members focusing on similar areas. Despite being initially disappointed, I remained open-minded and embraced the opportunity to work in a team. I enjoyed working with my partner overall, but collaboration came with difficulties. One challenge was our disagreement over using visual stimuli; I wanted to present job ads within stereotypically masculine and feminine office spaces, but we couldn't agree on their appearance, resulting in a change of direction that delayed progress. A significant challenge for me was SPSS; I initially felt overwhelmed by it but grew more confident as time passed. Unfortunately, technical issues led to the loss of data outputs, preventing me from recreating graphs shown to Caroline. Although I'm proud of the work submitted, it's not as comprehensive as it could have been. Moving forward, I understand the importance of completing tasks ahead of deadlines and seeking help when things go wrong. The project has highlighted the significance of visual and language-based framing in gendered communication, especially within marketing. In future projects, especially my final-year dissertation, I'd like to explore topics that integrate academic interests with professional fields, focusing on the power of gendered words and improving my ability to create engaging experimental materials reflective of real-world applications. Although this project may not be the piece I'm most proud of, it served as a turning point in my perception of myself as a researcher, providing clarity on values, voice, and future explorations. At submission, I feel a mix of pride, frustration, and relief but primarily motivated for what comes next.",0.08,0.697,0.223,0.9934,,Motivated,"Collaboration, Time Management, Research Design, Personal Growth"
"I was extremely excited to complete a mini-dissertation, however, I was skeptical about doing it as a group. Past experiences working in groups didn't give me much confidence; however, as the weeks went by, I realized I could rely on them. There were some weeks where motivation to come into labs decreased and most of us, including myself, didn't attend. If I was to do another group project again, I would take more advantage of the resources and support from the labs because towards the end, I found myself getting confused on analyzing data using SPSS. However, even though obtaining the statistical data seemed impossible towards the end, I managed to push through. With trial and error, it took me a full day to figure it out, but nonetheless, I'm proud that I persevered. Now, I can use SPSS with more confidence than before, and it doesn't seem as overwhelming as before. Ultimately, completing this mini-dissertation has been challenging but also rewarding. The process of conducting research and writing a substantial piece of work has significantly enhanced my understanding of factors affecting prosocial behavior and my overall academic skills. This opportunity has prepared me for how demanding my dissertation will be next year and put me in a great spot for what to expect.","I was extremely excited to complete a mini-dissertation; however, I was skeptical about doing it as a group. Past experiences working in groups didn't give me much confidence. However, as the weeks went by, I realized I could rely on them. There were some weeks where motivation to come into labs decreased and most of us, including myself, didn't attend. If I was to do another group project again, I would take more advantage of the resources and support from the labs because towards the end, I found myself getting confused on analyzing data using SPSS. However, even though obtaining the statistical data seemed impossible towards the end, I managed to push through. With trial and error, it took me a full day to figure it out, but nonetheless, I'm proud that I persevered. Now, I can use SPSS with more confidence than before, and it doesn't seem as overwhelming as before. Ultimately, completing this mini-dissertation has been challenging but also rewarding. The process of conducting research and writing a substantial piece of work has significantly enhanced my understanding of factors affecting prosocial behavior and my overall academic skills. This opportunity has prepared me for how demanding my dissertation will be next year and put me in a great spot for what to expect.",0.031,0.808,0.161,0.9859,"If I was to do another group project again, I would take more advantage of the resources and support from the labs because towards the end, I found myself getting confused on analyzing data using SPSS.",Relieved,"Teamwork, Research, Data Analysis, Personal Growth"
"Creating a mini-dissertation study captivated me, fostering personal growth. This experience honed my teamworking and leadership skills. Though I anticipated challenges, I felt at ease as creating a study entails its difficulties. Choosing a complex topic, namely menstrual cycle, was exhilarating as it's a personal aspect I understand. My tranquility stemmed from the data I had accumulated on this subject through essays, critical proposals, and social interactions. I rehearsed my plan with George in labs, but acquiring participants, particularly females, proved challenging. This experience expanded my comprehension of participant recruitment and efficient data gathering, as building a study is not simple. Deciphering 2x2 data was intriguing yet demanding. Ultimately, my application of menstrual cycle encapsulated key insights regarding a female's period impact on working memory. In the process, I mastered technical content, especially using SPSS, an intimidating yet enjoyable experience. Moving forward, I will prioritize recruiting more participants and preparing for potential errors. I learned how to conduct my own study and am personally satisfied with the outcome; however, in the future, I aim to strengthen my approaches by avoiding failures and valuing eligibility criteria for further research.","Creating a mini-dissertation study captivated me, fostering personal growth. This experience honed my teamworking and leadership skills. Though I anticipated challenges, I felt at ease as creating a study entails its difficulties. Choosing a complex topic, namely menstrual cycle, was exhilarating as it's a personal aspect I understand. My tranquility stemmed from the data I had accumulated on this subject through essays, critical proposals, and social interactions. I rehearsed my plan with George in labs, but acquiring participants, particularly females, proved challenging. This experience expanded my comprehension of participant recruitment and efficient data gathering, as building a study is not simple. Deciphering 2x2 data was intriguing yet demanding. Ultimately, my application of menstrual cycle encapsulated key insights regarding a female's period impact on working memory. In the process, I mastered technical content, especially using SPSS, an intimidating yet enjoyable experience. Moving forward, I will prioritize recruiting more participants and preparing for potential errors. I learned how to conduct my own study and am personally satisfied with the outcome; however, in the future, I aim to strengthen my approaches by avoiding failures and valuing eligibility criteria for further research.",0.089,0.76,0.15,0.8554,,Motivated,Research Design and Personal Growth
"This mini-dissertation project offered valuable insights into the research process, particularly regarding the challenges and adaptations essential for designing and conducting independent studies. Initially, our team designed a complex study examining the relationship between anxiety through a GAD-7 questionnaire, stress, exposure to anxiety-inducing stimuli (comparing cute dog videos versus stressful tasks), and subsequent sleep quality (to be measured through a two-part questionnaire completed before and after sleep). However, we encountered several significant methodological challenges that prompted us to rethink our approach. The primary issues included substantial participant attrition for the second part of the questionnaire. Although we had a reasonable number of participants to complete the initial anxiety assessment, fewer than half continued with completing the sleep quality follow-up questionnaire. Additionally, concerning signs were noted on the validity of the data collected - as the majority who completed both questionnaire parts did so within an unreasonably short timeframe (in less than 30 minutes from the start time to submission) rather than the originally expected overnight period from 6-12 hours. This pattern suggested participants were completing both sections in a single sitting, invalidating our attempt to measure the post-sleep effects. These challenges call for the pivotal need to anticipate participant behavior cautiously and implement follow-up mechanisms accordingly, such as sending morning reminder emails (a measure which we had discussed during planning but eventually dismissed due to technical constraints). As a result of these obstacles, I have changed the current study design examining gender and ethnicity effects on anxiety, in a less procedurally complex way which still addresses meaningful psychological questions. This experience has given me valuable takeaways about research design, and the importance of striking the balance between ambitious methodology and practical feasibility. As a result of this study, I will bear in mind several crucial considerations when I undertake my third-year dissertation. First, sample representativeness relies significantly on participant recruitment strategies. Our reliance on university forums and group chats resulted in a demographically skewed sample, limiting generalisability. Second, more advanced project management skills will be highly essential for an 8,000-word project, in terms of planning project deliverables along the timeline of milestones. Through studying exemplary papers, I have also enhanced my academic writing skills in presenting the results and discussion sections. I found this learning process both enlightening and rewarding. Despite the obstacles encountered, this experience has strengthened my confidence as a researcher and provided practical insights that will be invariably invaluable for my final-year dissertation.","This mini-dissertation project offered valuable insights into the research process, particularly regarding the challenges and adaptations essential for designing and conducting independent studies. Initially, our team designed a complex study examining the relationship between anxiety through a GAD-7 questionnaire, stress, exposure to anxiety-inducing stimuli (comparing cute dog videos versus stressful tasks), and subsequent sleep quality (to be measured through a two-part questionnaire completed before and after sleep). However, we encountered several significant methodological challenges that prompted us to rethink our approach. The primary issues included substantial participant attrition for the second part of the questionnaire. Although we had a reasonable number of participants to complete the initial anxiety assessment, fewer than half continued with completing the sleep quality follow-up questionnaire. Additionally, concerning signs were noted on the validity of the data collected - as the majority who completed both questionnaire parts did so within an unreasonably short timeframe (in less than 30 minutes from the start time to submission) rather than the originally expected overnight period from 6-12 hours. This pattern suggested participants were completing both sections in a single sitting, invalidating our attempt to measure the post-sleep effects. These challenges call for the pivotal need to anticipate participant behavior cautiously and implement follow-up mechanisms accordingly, such as sending morning reminder emails (a measure which we had discussed during planning but eventually dismissed due to technical constraints). As a result of these obstacles, I have changed the current study design examining gender and ethnicity effects on anxiety, in a less procedurally complex way which still addresses meaningful psychological questions. This experience has given me valuable takeaways about research design, and the importance of striking the balance between ambitious methodology and practical feasibility. As a result of this study, I will bear in mind several crucial considerations when I undertake my third-year dissertation. First, sample representativeness relies significantly on participant recruitment strategies. Our reliance on university forums and group chats resulted in a demographically skewed sample, limiting generalisability. Second, more advanced project management skills will be highly essential for an 8,000-word project, in terms of planning project deliverables along the timeline of milestones. Through studying exemplary papers, I have also enhanced my academic writing skills in presenting the results and discussion sections. I found this learning process both enlightening and rewarding. Despite the obstacles encountered, this experience has strengthened my confidence as a researcher and provided practical insights that will be invariably invaluable for my final-year dissertation.",0.028,0.862,0.111,0.988,"This pattern suggested participants were completing both sections in a single sitting, invalidating our attempt to measure the post-sleep effects.",Resilient,"Research Design, Time Management, Participant Representation, Academic Writing, Confidence"
"During the mini-dissertation process, the most challenging aspect was deciding on a research topic due to the freedom we had in choosing one. We had several ideas, but found it difficult to incorporate all topics into one. After making compromises and reaching a decision, our ideas started flowing better. When designing the research, we had some existing ideas from past papers that we incorporated into our design; however, looking back now, an experimental measure could have been used for one of our independent variables. In data collection, we found it tricky as most participants completed only the first half of the survey, neglecting the second half about their sleep the morning after. Therefore, we should have made it clearer for participants to complete the whole survey and provided prompts as they went along. During the analysis part of the research, I initially found it confusing but then got the hang of it by ensuring all parts of the analysis were included in my results. Overall, this experience will greatly benefit me next year as I will know what to expect when conducting my own research and have better ideas for my future work.","During the mini-dissertation process, the most challenging aspect was deciding on a research topic due to the freedom we had in choosing one. We had several ideas but found it difficult to incorporate all topics into one. After making compromises and reaching a decision, our ideas started flowing better. When designing the research, we had some existing ideas from past papers that we incorporated into our design; however, an experimental measure could have been used for one of our independent variables. In data collection, we found it tricky as most participants completed only the first half of the survey, neglecting the second half about their sleep the morning after. Therefore, we should have made it clearer for participants to complete the whole survey and provided prompts as they went along. During the analysis part of the research, I initially found it confusing but then got the hang of it by ensuring all parts of the analysis were included in my results. Overall, this experience will greatly benefit me next year as I will know what to expect when conducting my own research and have better ideas for my future work.",0.052,0.848,0.1,0.8746,,Resilient,Research Design and Data Collection
