theme,count,avg_sentiment,sample_comments
"Personal Growth, Research Capacity, Teamwork, Time Management",1,0.9895,"From the start of the year, being told that I would be responsible for creating an original experiment and reporting it was certainly daunting given my relative lack of experience in academic writing, study skills, and utilizing statistics packages. Working in my lab group greatly bolstered my ability to learn these concepts with the support of my lab partners, who were there every step of the way to answer questions and learn new concepts. I was able to learn the end-to-end process of an ethics application, including vetting questionnaires and identifying ethical concerns. The labs and lab tutor played a significant role in my development as a student and researcher, enabling me to think freely and work under my own power, with the support and guidance of an experienced tutor to prevent me from making serious mistakes. The lectures provided valuable insight and assisted me in setting a timeline for the creation of this mini-dissertation, helping me understand the theory behind different aspects of open research and analysis. Looking forward to the year ahead and my individual research project, I have identified that this module, its associated lecture, and assignments have been of great help in developing my study skills, research capacity, and forming valuable connections for seeking help if needed. || From the start of the year, being told that I would be responsible for creating an original experiment and reporting it was certainly daunting given my relative lack of experience in academic writing, study skills, and utilizing statistics packages. Working in my lab group greatly bolstered my ability to learn these concepts with the support of my lab partners, who were there every step of the way to answer questions and learn new concepts. I was able to learn the end-to-end process of an ethics application, including vetting questionnaires and identifying ethical concerns. The labs and lab tutor played a significant role in my development as a student and researcher, enabling me to think freely and work under my own power, with the support and guidance of an experienced tutor to prevent me from making serious mistakes. The lectures provided valuable insight and assisted me in setting a timeline for the creation of this mini-dissertation, helping me understand the theory behind different aspects of open research and analysis. Looking forward to the year ahead and my individual research project, I have identified that this module, its associated lecture, and assignments have been of great help in developing my study skills, research capacity, and forming valuable connections for seeking help if needed."
"Planning, Research Design, Data Analysis, Communication",1,0.9963,"The initial stages of formulating my research question proved difficult as we collaboratively identified the broader topic of VR exposure therapy for public speaking anxiety but isolating my specific focus on motivation proved challenging. This difficulty extended to finding existing research that directly assessed motivation or its interaction with VR exposure therapy and anxiety reduction. Lack of direct precedent made it hard to establish my research question and independent variables from the outset, deviating from established protocols, further complicated the process. In future, I will conduct more in-depth research prior to starting a project, ensuring a clear understanding of the research question and independent variables from the very beginning. Accessing VR equipment presented another hurdle due to limited availability and shared use with other research groups resulting in delays during data collection. For future projects, I will prioritize materials that are readily accessible to avoid similar delays.

While ethical considerations were paramount, finding participants with a debilitating fear of public speaking proved difficult. The relaxed environment, privacy, and lack of time constraints might have contributed to this. Additionally, the VR app ""Ovation"", while engaging, may not have provided a sufficiently realistic experience. Many participants found the VR experience enjoyable rather than stressful, potentially impacting the severity of the exposure. In future research, I will consider including a control group to better determine if observed changes are truly due to the treatment. Furthermore, the reliance on self-report measures raises concerns about potential bias from placebo effects or participants' desire to present themselves favorably. A control group would help mitigate these concerns and enhance the reliability of the experiment.

Analyzing the data using SPSS proved to be the most challenging aspect of the project. My understanding of SPSS and statistics, while improving, still requires further development. The complexity of the study design and analyses pushed me to seek guidance from my lab tutor, take detailed notes, and utilize online resources. This experience highlighted the ongoing learning curve in data analysis and reinforced the need for continued practice.

The experiment's design was strong, yielding significant results and exploring motivation, a relatively understudied area. Communication within the group was effective, particularly in coordinating data collection. However, communication with participants could have been improved. The complexity of the ""Ovation"" app, along with technical issues, led to misinterpretations and disruptions during the VR sessions. In future research, I will provide clearer instructions, potentially incorporating visual aids like picture demonstrations or videos.

Despite the challenges, this research contributes to understanding the potential effectiveness of VR exposure therapy for anxiety reduction. My findings suggest that motivation may play a role even with less realistic VR experiences. Future research could build upon this by improving VR realism, incorporating a control group, and investigating different types of motivation. This experience has reinforced the importance of having access to reliable equipment, providing clear participant instructions, and developing statistical analysis skills for smooth and effective research. The difficulties encountered during this project pushed me to problem-solve, take initiative, and enhance my research and critical thinking skills. This reflection has highlighted the continuous learning process inherent in research. Mistakes and challenges are inevitable, and by reflecting on them, I can become a more confident and skilled researcher. || The initial stages of formulating my research question proved difficult as we collaboratively identified the broader topic of VR exposure therapy for public speaking anxiety but isolating my specific focus on motivation proved challenging. This difficulty extended to finding existing research that directly assessed motivation or its interaction with VR exposure therapy and anxiety reduction. Lack of direct precedent made it hard to establish my research question and independent variables from the outset, deviating from established protocols, further complicated the process. In future, I will conduct more in-depth research prior to starting a project, ensuring a clear understanding of the research question and independent variables from the very beginning. Accessing VR equipment presented another hurdle due to limited availability and shared use with other research groups resulting in delays during data collection. For future projects, I will prioritize materials that are readily accessible to avoid similar delays.

While ethical considerations were paramount, finding participants with a debilitating fear of public speaking proved difficult. The relaxed environment, privacy, and lack of time constraints might have contributed to this. Additionally, the VR app ""Ovation"", while engaging, may not have provided a sufficiently realistic experience. Many participants found the VR experience enjoyable rather than stressful, potentially impacting the severity of the exposure. In future research, I will consider including a control group to better determine if observed changes are truly due to the treatment. Furthermore, the reliance on self-report measures raises concerns about potential bias from placebo effects or participants' desire to present themselves favorably. A control group would help mitigate these concerns and enhance the reliability of the experiment.

Analyzing the data using SPSS proved to be the most challenging aspect of the project. My understanding of SPSS and statistics, while improving, still requires further development. The complexity of the study design and analyses pushed me to seek guidance from my lab tutor, take detailed notes, and utilize online resources. This experience highlighted the ongoing learning curve in data analysis and reinforced the need for continued practice.

The experiment's design was strong, yielding significant results and exploring motivation, a relatively understudied area. Communication within the group was effective, particularly in coordinating data collection. However, communication with participants could have been improved. The complexity of the ""Ovation"" app, along with technical issues, led to misinterpretations and disruptions during the VR sessions. In future research, I will provide clearer instructions, potentially incorporating visual aids like picture demonstrations or videos.

Despite the challenges, this research contributes to understanding the potential effectiveness of VR exposure therapy for anxiety reduction. My findings suggest that motivation may play a role even with less realistic VR experiences. Future research could build upon this by improving VR realism, incorporating a control group, and investigating different types of motivation. This experience has reinforced the importance of having access to reliable equipment, providing clear participant instructions, and developing statistical analysis skills for smooth and effective research. The difficulties encountered during this project pushed me to problem-solve, take initiative, and enhance my research and critical thinking skills. This reflection has highlighted the continuous learning process inherent in research. Mistakes and challenges are inevitable, and by reflecting on them, I can become a more confident and skilled researcher."
"Psychology Research Methods, Independence, Perseverance",1,0.9757,"Completing this mini-dissertation was both a challenging and rewarding experience. At the outset, I was intrigued by the idea that subtle communication cues - such as a speaker's title or use of medical jargon - could influence how individuals perceive their own health. Designing a 2x2 factorial experiment allowed me to explore this in a structured, empirical way. However, transforming an abstract idea into a fully realized study required constant critical thinking, organization, and attention to detail. One of the most valuable aspects of this project was learning how to operationalize variables, particularly self-rated health (SRH). Adapting items from the SF-36 survey and reverse coding them taught me about the importance of handling measurement tools carefully to ensure validity. Writing the Methods and Results sections helped solidify my understanding of statistical testing, especially two-way ANOVA, and the importance of power analysis. I also gained experience navigating Qualtrics for randomisation and survey design. Perhaps the most significant growth came during the Discussion section, where I had to critically evaluate my findings, acknowledge limitations, and consider future directions. While my hypotheses were only partially supported, this taught me that null or unexpected results are still meaningful and can inform theory and practice. Overall, this project deepened my understanding of how psychology research is conducted and the importance of methodological transparency. It also reinforced my ability to manage anxiety under pressure, work independently, and persevere through complex tasks - skills I will carry forward in my academic and professional journey. || Completing this mini-dissertation was both a challenging and rewarding experience. At the outset, I was intrigued by the idea that subtle communication cues - such as a speaker's title or use of medical jargon - could influence how individuals perceive their own health. Designing a 2x2 factorial experiment allowed me to explore this in a structured, empirical way. However, transforming an abstract idea into a fully realized study required constant critical thinking, organization, and attention to detail. One of the most valuable aspects of this project was learning how to operationalize variables, particularly self-rated health (SRH). Adapting items from the SF-36 survey and reverse coding them taught me about the importance of handling measurement tools carefully to ensure validity. Writing the Methods and Results sections helped solidify my understanding of statistical testing, especially two-way ANOVA, and the importance of power analysis. I also gained experience navigating Qualtrics for randomisation and survey design. Perhaps the most significant growth came during the Discussion section, where I had to critically evaluate my findings, acknowledge limitations, and consider future directions. While my hypotheses were only partially supported, this taught me that null or unexpected results are still meaningful and can inform theory and practice. Overall, this project deepened my understanding of how psychology research is conducted and the importance of methodological transparency. It also reinforced my ability to manage anxiety under pressure, work independently, and persevere through complex tasks - skills I will carry forward in my academic and professional journey."
Research Conduct & Learning,1,0.9802,"Through this project, I have learned much about research conduct. Initially, I was overwhelmed by choice but talking with others helped me narrow selections. Struggling with search skills and terms led to improved search proficiency (e.g., using 'personality' instead of 'neuroticism'). While creating the study, compromise on measurement and participant engagement was a challenge. Organizational skills had to be improved for others' accommodation. Decision-making abilities were enhanced by considering all factors. The sample was small and unrepresentative due to lack of knowledge in gathering participants and maintaining interest. Next time, I will take an active role in participant acquisition as I did not try enough. Data analysis was difficult and required multiple revisions, but completion boosted my confidence in data understanding, analysis, and conclusion-drawing from statistics. If asked again, I would be prepared to complete well. || Through this project, I have learned much about research conduct. Initially, I was overwhelmed by choice but talking with others helped me narrow selections. Struggling with search skills and terms led to improved search proficiency (e.g., using 'personality' instead of 'neuroticism'). While creating the study, compromise on measurement and participant engagement was a challenge. Organizational skills had to be improved for others' accommodation. Decision-making abilities were enhanced by considering all factors. The sample was small and unrepresentative due to lack of knowledge in gathering participants and maintaining interest. Next time, I will take an active role in participant acquisition as I did not try enough. Data analysis was difficult and required multiple revisions, but completion boosted my confidence in data understanding, analysis, and conclusion-drawing from statistics. If asked again, I would be prepared to complete well."
Research Design & Data Collection,1,0.8746,"During the mini-dissertation process, the most challenging aspect was deciding on a research topic due to the freedom we had in choosing one. We had several ideas, but found it difficult to incorporate all topics into one. After making compromises and reaching a decision, our ideas started flowing better. When designing the research, we had some existing ideas from past papers that we incorporated into our design; however, looking back now, an experimental measure could have been used for one of our independent variables. In data collection, we found it tricky as most participants completed only the first half of the survey, neglecting the second half about their sleep the morning after. Therefore, we should have made it clearer for participants to complete the whole survey and provided prompts as they went along. During the analysis part of the research, I initially found it confusing but then got the hang of it by ensuring all parts of the analysis were included in my results. Overall, this experience will greatly benefit me next year as I will know what to expect when conducting my own research and have better ideas for my future work. || During the mini-dissertation process, the most challenging aspect was deciding on a research topic due to the freedom we had in choosing one. We had several ideas, but found it difficult to incorporate all topics into one. After making compromises and reaching a decision, our ideas started flowing better. When designing the research, we had some existing ideas from past papers that we incorporated into our design; however, looking back now, an experimental measure could have been used for one of our independent variables. In data collection, we found it tricky as most participants completed only the first half of the survey, neglecting the second half about their sleep the morning after. Therefore, we should have made it clearer for participants to complete the whole survey and provided prompts as they went along. During the analysis part of the research, I initially found it confusing but then got the hang of it by ensuring all parts of the analysis were included in my results. Overall, this experience will greatly benefit me next year as I will know what to expect when conducting my own research and have better ideas for my future work."
Research Design & Learning,1,0.9686,"During the decisions process throughout my study, there was plenty of evaluation including the type of stimulus we were using to present witness testimonies. Initially, we relied on using videos of each witness to ensure gender and race were evident and visually taken in. However, we thought it would create confounding variables which could potentially affect results. Additionally, I soon realized during the survey people weren't going to focus on comprehending the description of the witness; instead, they would jump to the testimony itself. Eventually, we noticed faults in our work and reflected on them. Another challenge was creating the survey as I found it challenging getting to the answer of how to randomize our variables. The solution was simpler than it seemed as, in search of answers, I confided in my group, and using trial and error, we were able to find the solution. At this point of submission, I feel accomplished and reflective. Even though I recognized areas of improvement, I am proud of completing my study and the lessons learned. Looking into next year, I am ready to try again and perfect my ability of running an experiment and refining my findings. || During the decisions process throughout my study, there was plenty of evaluation including the type of stimulus we were using to present witness testimonies. Initially, we relied on using videos of each witness to ensure gender and race were evident and visually taken in. However, we thought it would create confounding variables which could potentially affect results. Additionally, I soon realized during the survey people weren't going to focus on comprehending the description of the witness; instead, they would jump to the testimony itself. Eventually, we noticed faults in our work and reflected on them. Another challenge was creating the survey as I found it challenging getting to the answer of how to randomize our variables. The solution was simpler than it seemed as, in search of answers, I confided in my group, and using trial and error, we were able to find the solution. At this point of submission, I feel accomplished and reflective. Even though I recognized areas of improvement, I am proud of completing my study and the lessons learned. Looking into next year, I am ready to try again and perfect my ability of running an experiment and refining my findings."
Research Design & Methodology,3,0.9588,"My comprehension of outcome bias and decision evaluation difficulties has significantly improved due to this research. A within-subjects study compelled me to evaluate order effect control and measurement reliability critically. This approach enhanced my understanding of experimental design, and the importance of methodological accuracy. Performing a 2x2 repeated-measures ANOVA on the data increased my statistical confidence, and I learned the importance of interpreting effect sizes and testing assumptions rather than just focusing on significance. Reading literature improved my ability to critically assess previous studies and place my findings in broader psychological debate contexts. This project honed my analytical thinking, problem-solving, attention to detail, and technical skills, all vital for further study. Impartiality in judgment was reaffirmed as valuable in both academic and practical contexts. In conclusion, this experience boosted my respect for scientific investigation and made me a more systematic and thoughtful researcher during my academic career. || Reflecting on the decision-making process of our research project, our group started with numerous ideas for various topics and eventually confirmed the topic at hand. I have learned a great deal about the complexity of studying the impact of media on public perception. One of the initial challenges we faced was narrowing down the topic. Initially, we wanted to do something related to criminal psychology but found it too broad to finalize a suitable and appropriate topic. In the end, we focused on something we encounter frequently in real life and implemented it. Throughout the project, I struggled with data collection, particularly recruiting a diverse enough group of participants. The majority of respondents were college students, which may limit the generalizability of our findings. Additionally, due to our low impact, we often struggled with anxiety during the survey process as to whether or not we would get enough responses to the questionnaire. Upon submitting my thesis, I felt both a sense of accomplishment and relief. I was satisfied with the results of the research and the insights it provided into the role of media in shaping public fear. As I look forward to next year, I am more confident in my research abilities, but I also recognize that there is still much to learn about methodology and academic writing. This project has been a valuable learning experience, and I look forward to further improving my abilities in future research so that I can study criminal psychology topics next year."
Research Design & Teamwork,1,0.9859,"This mini-dissertation project was a transformative academic experience, deepening my understanding of research design, analysis, and the practical challenges of conducting a study. Collaborating with others taught me how to accurately convey ideas, manage shared responsibilities, and adapt when our perspectives differed. Learning how to balance independence and teamwork was a crucial skill that I will apply to my third-year dissertation and beyond. One of the most enjoyable aspects was collecting and assessing my own data, which made statistics feel more important and real. Using Jamovi to perform my ANOVA and assess effect sizes gave me a strong sense of control and confidence. Although my findings were not significant, I learned that even unexpected discoveries can be useful when reviewed thoughtfully. Looking back, I'm proud of how far I've come—from feeling overwhelmed by the project to now feeling much more confident in my ability to plan, conduct, and report on a whole experiment. This project has provided a solid foundation for my future research, and I am now really enthusiastic to tackle my third-year dissertation with the knowledge and skills I've acquired. || This mini-dissertation project was a transformative academic experience, deepening my understanding of research design, analysis, and the practical challenges of conducting a study. Collaborating with others taught me how to accurately convey ideas, manage shared responsibilities, and adapt when our perspectives differed. Learning how to balance independence and teamwork was a crucial skill that I will apply to my third-year dissertation and beyond. One of the most enjoyable aspects was collecting and assessing my own data, which made statistics feel more important and real. Using Jamovi to perform my ANOVA and assess effect sizes gave me a strong sense of control and confidence. Although my findings were not significant, I learned that even unexpected discoveries can be useful when reviewed thoughtfully. Looking back, I'm proud of how far I've come—from feeling overwhelmed by the project to now feeling much more confident in my ability to plan, conduct, and report on a whole experiment. This project has provided a solid foundation for my future research, and I am now really enthusiastic to tackle my third-year dissertation with the knowledge and skills I've acquired."
Research Design and Planning,1,0.9905,"This project investigated the effects of gender and openness to experience on conformity, requiring a balance between relevance to theories and practicality. I chose openness as my personality trait due to its potential inverse relationship with conformity, a connection I discovered through literature. Operationalizing this trait within a controlled experiment proved challenging. We aimed for balanced gender representation, necessitating adjustments to recruitment strategies. Designing an effective task was another major challenge; it needed to extract levels of conformity while maintaining ethical standards. A pilot test with friends helped identify ambiguities, allowing us to make necessary revisions for clarity and consistency. Data analysis presented issues due to interpreting interaction effects with a small sample size, prompting deeper engagement with statistical issues. As I reach the end, I feel a mix of relief and satisfaction; there are areas I would like to improve by refining conformity measures and using a larger sample, which would contribute to a more thoughtful design. Looking ahead, I feel more confident in completing independent research as I have strengthened my skills in planning and adaptability. || This project investigated the effects of gender and openness to experience on conformity, requiring a balance between relevance to theories and practicality. I chose openness as my personality trait due to its potential inverse relationship with conformity, a connection I discovered through literature. Operationalizing this trait within a controlled experiment proved challenging. We aimed for balanced gender representation, necessitating adjustments to recruitment strategies. Designing an effective task was another major challenge; it needed to extract levels of conformity while maintaining ethical standards. A pilot test with friends helped identify ambiguities, allowing us to make necessary revisions for clarity and consistency. Data analysis presented issues due to interpreting interaction effects with a small sample size, prompting deeper engagement with statistical issues. As I reach the end, I feel a mix of relief and satisfaction; there are areas I would like to improve by refining conformity measures and using a larger sample, which would contribute to a more thoughtful design. Looking ahead, I feel more confident in completing independent research as I have strengthened my skills in planning and adaptability."
"Research Design, Collaboration, Time Management, Personal Growth",1,0.7339,"I found conducting this research challenging as I had anticipated struggling less due to previous lab-report analysis experience. Designing and conducting a study, particularly using Qualtrics and obtaining participants, proved more difficult than expected. In retrospect, I should have familiarized myself with Qualtrics earlier and ensured an even distribution of participants between conditions. Working with only one other person instead of three increased the workload, necessitating assistance in areas such as SPSS. For future collaborations, I will strive for evenly distributed workload and clearer communication. This would have allowed for improved study design, a larger sample size, and enhanced materials via video recording instead of using a written vignette. Additionally, narrowing the scope of my research was challenging due to my interest in ASD. This led to covering multiple areas within my lab report, such as the double empathy problem, misdiagnosis in women, and issues with previous research, resulting in exceeding the word count by double. For future projects, I will plan ahead and approximate word counts for each section. Despite these challenges, I enjoyed this project due to its relevance to my interests. Designing my study provided insight into the process of being a researcher. || I found conducting this research challenging as I had anticipated struggling less due to previous lab-report analysis experience. Designing and conducting a study, particularly using Qualtrics and obtaining participants, proved more difficult than expected. In retrospect, I should have familiarized myself with Qualtrics earlier and ensured an even distribution of participants between conditions. Working with only one other person instead of three increased the workload, necessitating assistance in areas such as SPSS. For future collaborations, I will strive for evenly distributed workload and clearer communication. This would have allowed for improved study design, a larger sample size, and enhanced materials via video recording instead of using a written vignette. Additionally, narrowing the scope of my research was challenging due to my interest in ASD. This led to covering multiple areas within my lab report, such as the double empathy problem, misdiagnosis in women, and issues with previous research, resulting in exceeding the word count by double. For future projects, I will plan ahead and approximate word counts for each section. Despite these challenges, I enjoyed this project due to its relevance to my interests. Designing my study provided insight into the process of being a researcher."
"Research Design, Data Analysis, Learning, Future Plans",1,0.9896,"During this time, I designed, composed, and completed my experiment and mini-dissertation. Many decisions needed to be made such as choosing IV (Independent Variable) and DV (Dependent Variable), which was difficult due to differing opinions. We eventually chose one idea each that fit into similar categories. My choice was attachment style, intriguing and suitable for studying alongside relationship satisfaction and impulsivity. We chose a questionnaire because it was straightforward and easy for analysis but preprocessing the data proved complex with vast amounts requiring coding and conversion into meaningful data plots. Deciding what to include and exclude presented challenges. The ethical approval process posed difficulties, with many sends back and rejects before approval. We had to keep making small changes to the design and variables to gain approval. Errors in the questionnaire design after publishing caused processing and translating issues, leading to adjustments within data analysis like reverse coding the data, adding different representatives, using means, and discluding certain data that would have hindered processing and study results. If I were to repeat this study, I might use a different basis of measurement and questionnaires. I'd carefully compose the questionnaire with this in mind. I feel relieved at submission, as it was stressful, but excited for next year and my main dissertation. I learned much from this experience and enjoyed most of the challenges along the way. I am eager to explore new topics and construct something based on my interests and future career in psychology. || During this time, I designed, composed, and completed my experiment and mini-dissertation. Many decisions needed to be made such as choosing IV (Independent Variable) and DV (Dependent Variable), which was difficult due to differing opinions. We eventually chose one idea each that fit into similar categories. My choice was attachment style, intriguing and suitable for studying alongside relationship satisfaction and impulsivity. We chose a questionnaire because it was straightforward and easy for analysis but preprocessing the data proved complex with vast amounts requiring coding and conversion into meaningful data plots. Deciding what to include and exclude presented challenges. The ethical approval process posed difficulties, with many sends back and rejects before approval. We had to keep making small changes to the design and variables to gain approval. Errors in the questionnaire design after publishing caused processing and translating issues, leading to adjustments within data analysis like reverse coding the data, adding different representatives, using means, and discluding certain data that would have hindered processing and study results. If I were to repeat this study, I might use a different basis of measurement and questionnaires. I'd carefully compose the questionnaire with this in mind. I feel relieved at submission, as it was stressful, but excited for next year and my main dissertation. I learned much from this experience and enjoyed most of the challenges along the way. I am eager to explore new topics and construct something based on my interests and future career in psychology."
"Research Design, Data Analysis, Personal Growth",1,0.9853,"Working as a group has always been a mixed experience for me, involving highly engaged members and those who contribute less. At the start of our project, the group dynamic lacked cohesion, with few actively participating while others either worked independently without communicating or remained largely disengaged. This lack of coordination left some unaware of the project's progress, making collaboration difficult. As the project developed, collaboration improved and became more effective. Despite initial difficulties, I found the experience enjoyable because we had autonomy over a topic that interested us all. One key difficulty was our complex research design; enthusiasm led to including multiple variables, complicating the study. This confusion affected data analysis. Reflecting, I acknowledge the importance of clear, focused research questions and manageable designs for future projects. Data analysis proved challenging, as interpreting Qualtrics data and navigating SPSS initially felt overwhelming. Despite guidance, I struggled with certain concepts, but this struggle refined my research skills. Moving forward, I will dedicate time to improving proficiency in SPSS and statistical analysis for the final-year dissertation. Challenges included a small sample size limiting reliability, difficulty recruiting participants, participant fatigue causing missing data, and designing an engaging yet concise study. These issues taught me about common research problems such as poor measure selection, small sample sizes, and participant dropout, and their impact on findings interpretation. I now understand that psychological research is uncertain, relying on statistical inference rather than definitive conclusions. Completing this mini-dissertation boosted my confidence in pursuing the final-year dissertation, equipping me to develop clear research questions, choose appropriate measures, and analyze data using SPSS. More importantly, I gained confidence to conduct research on a topic I am passionate about, ensuring that my dissertation will be meaningful and well-structured. || Working as a group has always been a mixed experience for me, involving highly engaged members and those who contribute less. At the start of our project, the group dynamic lacked cohesion, with few actively participating while others either worked independently without communicating or remained largely disengaged. This lack of coordination left some unaware of the project's progress, making collaboration difficult. As the project developed, collaboration improved and became more effective. Despite initial difficulties, I found the experience enjoyable because we had autonomy over a topic that interested us all. One key difficulty was our complex research design; enthusiasm led to including multiple variables, complicating the study. This confusion affected data analysis. Reflecting, I acknowledge the importance of clear, focused research questions and manageable designs for future projects. Data analysis proved challenging, as interpreting Qualtrics data and navigating SPSS initially felt overwhelming. Despite guidance, I struggled with certain concepts, but this struggle refined my research skills. Moving forward, I will dedicate time to improving proficiency in SPSS and statistical analysis for the final-year dissertation. Challenges included a small sample size limiting reliability, difficulty recruiting participants, participant fatigue causing missing data, and designing an engaging yet concise study. These issues taught me about common research problems such as poor measure selection, small sample sizes, and participant dropout, and their impact on findings interpretation. I now understand that psychological research is uncertain, relying on statistical inference rather than definitive conclusions. Completing this mini-dissertation boosted my confidence in pursuing the final-year dissertation, equipping me to develop clear research questions, choose appropriate measures, and analyze data using SPSS. More importantly, I gained confidence to conduct research on a topic I am passionate about, ensuring that my dissertation will be meaningful and well-structured."
"Research Design, Emotion Recognition, Methodological Considerations",1,0.9746,"Conducting this study on gender and emotional valence in recognizing emotional intensity through eye contact has been an insightful journey. From developing the research question to analyzing data, I have gained a deeper appreciation for the complexities of nonverbal communication and emotional perception. One of the most surprising findings was the lack of significant main effects for gender and emotional valence, despite previous research suggesting otherwise. However, the significant interaction effect - where female participants showed greater accuracy in recognizing negative emotions - raised important questions about socialization processes and cognitive biases in emotion recognition. This encouraged me to critically assess existing theories and acknowledge the intricate nature of these psychological mechanisms. Methodologically, I became more aware of the trade-offs in experimental design. While static eye images provided control, they lacked real-world dynamism. Future research using videos or interactive stimuli could yield more ecologically valid insights. Additionally, the gender imbalance in my sample (34 males, 66 females) may have influenced the findings, highlighting the importance of balanced participant recruitment. Reflecting on broader implications, my study connects with practical fields like psychotherapy, education, and AI development. This experience has deepened my curiosity about emotion perception and inspired future research directions into cultural and personality-based influences. || Conducting this study on gender and emotional valence in recognizing emotional intensity through eye contact has been an insightful journey. From developing the research question to analyzing data, I have gained a deeper appreciation for the complexities of nonverbal communication and emotional perception. One of the most surprising findings was the lack of significant main effects for gender and emotional valence, despite previous research suggesting otherwise. However, the significant interaction effect - where female participants showed greater accuracy in recognizing negative emotions - raised important questions about socialization processes and cognitive biases in emotion recognition. This encouraged me to critically assess existing theories and acknowledge the intricate nature of these psychological mechanisms. Methodologically, I became more aware of the trade-offs in experimental design. While static eye images provided control, they lacked real-world dynamism. Future research using videos or interactive stimuli could yield more ecologically valid insights. Additionally, the gender imbalance in my sample (34 males, 66 females) may have influenced the findings, highlighting the importance of balanced participant recruitment. Reflecting on broader implications, my study connects with practical fields like psychotherapy, education, and AI development. This experience has deepened my curiosity about emotion perception and inspired future research directions into cultural and personality-based influences."
"Research Design, Group Work, Data Analysis, Study Management",1,0.9599,"Completing this Mini-Dissertation has been rewarding and challenging. The process has deepened understanding of how to approach psychological study - developing research questions, analyzing results. Topic found challenging yet interesting. Encountered challenges: operationalizing IV & DV; relied on self-reported menstrual cycle data introducing uncertainties. Main difficulty: using SPSS and data analysis ensuring it was in correct format. Peers provided help; group work made process more enjoyable. Learned importance of clear operationalized variables, working in a group setting, and effective study management. || Completing this Mini-Dissertation has been rewarding and challenging. The process has deepened understanding of how to approach psychological study - developing research questions, analyzing results. Topic found challenging yet interesting. Encountered challenges: operationalizing IV & DV; relied on self-reported menstrual cycle data introducing uncertainties. Main difficulty: using SPSS and data analysis ensuring it was in correct format. Peers provided help; group work made process more enjoyable. Learned importance of clear operationalized variables, working in a group setting, and effective study management."
